"Nº";"Disciplina";"Dificuldade";"Pergunta";"A";"B";"C";"D";"Correta"
"20";"Informática";"Fácil";"Para que serve o teclado?";"Exibir imagens";"Emitir sons";"Inserir dados";"Imprimir documentos";"C"
"21";"Informática";"Fácil";"O que significa 'download'?";"Enviar para nuvem";"Baixar da internet";"Deletar arquivo";"Compactar arquivo";"B"
"22";"Informática";"Fácil";"O que é o disco rígido (HD)?";"Dispositivo de entrada";"Armazenamento permanente";"Dispositivo de saída";"Memória temporária";"B"
"23";"Informática";"Fácil";"Qual é um editor de texto?";"VLC Player";"Microsoft Word";"Google Chrome";"WinRAR";"B"
"24";"Informática";"Fácil";"O que faz o atalho Ctrl+Z?";"Salva arquivo";"Desfaz última ação";"Refaz ação";"Fecha programa";"B"
"25";"Informática";"Fácil";"O que é e-mail?";"Um vírus";"Correio eletrônico";"Um navegador";"Sistema operacional";"B"
"26";"Informática";"Fácil";"Quantos bits tem 1 byte?";"4";"16";"8";"2";"C"
"27";"Informática";"Fácil";"O que é o monitor?";"Dispositivo de entrada";"Dispositivo de armazenamento";"Exibe imagens na tela";"Processador";"C"
"28";"Informática";"Fácil";"Extensão de imagens JPEG?";".mp3";".jpg";".doc";".exe";"B"
"29";"Informática";"Fácil";"O que é um vírus de computador?";"Programa de proteção";"Programa malicioso";"Um hardware";"Um driver";"B"
"30";"Informática";"Fácil";"O que significa USB?";"Universal Serial Bus";"Unified System Base";"Universal System Bridge";"Unified Serial Boot";"A"
"31";"Informática";"Fácil";"O que é o Explorador de Arquivos?";"Navegador de internet";"Gerencia arquivos e pastas";"Um antivírus";"Editor de texto";"B"
"32";"Informática";"Fácil";"Para que serve um antivírus?";"Acelerar o PC";"Proteger contra malware";"Editar vídeos";"Gerenciar arquivos";"B"
"33";"Informática";"Fácil";"O que é upload?";"Baixar da internet";"Enviar para servidor";"Deletar arquivos";"Copiar arquivos";"B"
"34";"Informática";"Fácil";"Tecla para confirmar ou pular linha?";"Esc";"Backspace";"Tab";"Enter";"D"
"35";"Informática";"Fácil";"O que é uma pasta (diretório)?";"Um arquivo de texto";"Local para organizar arquivos";"Um vírus";"Um programa";"B"
"36";"Informática";"Fácil";"O que faz o atalho Ctrl+S?";"Seleciona tudo";"Salva o arquivo";"Fecha arquivo";"Abre arquivo";"B"
"37";"Informática";"Fácil";"Qual a função do mouse?";"Inserir texto";"Emitir sons";"Controlar o cursor";"Imprimir documentos";"C"
"38";"Informática";"Fácil";"O que é wi-fi?";"Um cabo de rede";"Conexão sem fio à internet";"Programa de segurança";"Sistema operacional";"B"
"39";"Informática";"Fácil";"O que é software?";"Componentes físicos";"Programas do computador";"O monitor";"O gabinete";"B"
"40";"Informática";"Fácil";"O que é hardware?";"Programas do PC";"Componentes físicos";"Arquivos do sistema";"Antivírus";"B"
"41";"Informática";"Fácil";"Extensão de executáveis no Windows?";".txt";".jpg";".exe";".mp3";"C"
"42";"Informática";"Fácil";"O que é a área de trabalho (desktop)?";"A memória RAM";"Tela inicial do sistema";"O disco rígido";"O processador";"B"
"43";"Informática";"Fácil";"O que é um atalho na área de trabalho?";"Cópia do arquivo";"Link para abrir rapidamente";"Um vírus";"Um tipo de pasta";"B"
"44";"Informática";"Médio";"O que faz 'display: flex' no CSS?";"Deixa texto em negrito";"Oculta o elemento";"Organiza elementos flexíveis";"Adiciona bordas";"C"
"45";"Informática";"Médio";"O que é o protocolo HTTP?";"Transferência de hipertexto";"Protocolo de segurança";"Linguagem de programação";"Sistema de arquivos";"A"
"46";"Informática";"Médio";"Para que serve a tag <div>?";"Criar links";"Agrupar blocos de conteúdo";"Inserir imagens";"Criar listas";"B"
"47";"Informática";"Médio";"O que é um loop em programação?";"Um erro de código";"Estrutura que repete instruções";"Uma variável";"Um tipo de função";"B"
"48";"Informática";"Médio";"O que significa IDE?";"Internet Data Engine";"Integrated Development Environment";"Internal Design Editor";"Interface Development Engine";"B"
"49";"Informática";"Médio";"Diferença entre == e === no JavaScript?";"Não há diferença";"== valor, === valor e tipo";"=== só valor";"São atribuições";"B"
"50";"Informática";"Médio";"O que é uma função em programação?";"Um erro no código";"Bloco de código reutilizável";"Um tipo de variável";"Estrutura de repetição";"B"
"51";"Informática";"Médio";"O que é SQL?";"Linguagem web";"Linguagem para bancos de dados";"Sistema operacional";"Protocolo de rede";"B"
"52";"Informática";"Médio";"O que significa IP?";"Internal Program";"Internet Protocol";"Integrated Processor";"Input Parameter";"B"
"53";"Informática";"Médio";"O que é responsive design?";"Design só para desktop";"Adapta-se a diferentes telas";"Design com muitas cores";"Design minimalista";"B"
"54";"Informática";"Médio";"Para que serve o Git?";"Editar imagens";"Controle de versão";"Gerenciar banco de dados";"Criar sites";"B"
"55";"Informática";"Médio";"O que é uma API?";"Um banco de dados";"Interface entre sistemas";"Sistema operacional";"Editor de código";"B"
"56";"Informática";"Médio";"O que faz o SELECT no SQL?";"Apaga dados";"Insere dados";"Consulta dados de tabela";"Cria tabelas";"C"
"57";"Informática";"Médio";"O que é o DOM?";"Estrutura da página HTML";"Database Object Manager";"Design Of Modules";"Display Output Mode";"A"
"58";"Informática";"Médio";"Método para adicionar ao final de array?";"push()";"pop()";"shift()";"splice()";"A"
"59";"Informática";"Médio";"O que é uma variável?";"Um tipo de loop";"Espaço na memória para dados";"Função matemática";"Erro de código";"B"
"60";"Informática";"Médio";"O que significa DNS?";"Data Network Security";"Domain Name System";"Dynamic Network Service";"Digital Name Server";"B"
"61";"Informática";"Médio";"O que é o backend web?";"Interface visual";"Servidor que processa lógica";"Banco de imagens";"Design do site";"B"
"62";"Informática";"Médio";"Estrutura para decisões no código?";"For loop";"While loop";"If/else";"Array";"C"
"63";"Informática";"Médio";"O que é o localStorage?";"Banco remoto";"Dados no navegador do usuário";"Servidor de arquivos";"Biblioteca JS";"B"
"64";"Informática";"Médio";"O que é uma classe em CSS?";"Um tipo de tag";"Seletor que aplica estilos";"Atributo de cor";"Tipo de fonte";"B"
"65";"Informática";"Médio";"Para que serve o atributo 'alt'?";"Definir tamanho";"Texto alternativo para imagens";"Definir cor";"Definir link";"B"
"66";"Informática";"Médio";"O que é git commit?";"Envia para repositório remoto";"Salva snapshot das alterações";"Cria repositório";"Apaga histórico";"B"
"67";"Informática";"Médio";"Função do index.html?";"Armazenar banco de dados";"Página principal do site";"Definir os estilos";"Conter o JavaScript";"B"
"68";"Informática";"Médio";"O que é o operador ternário?";"Um loop";"Forma compacta do if/else";"Método de array";"Tipo de função";"B"
"69";"Informática";"Médio";"O que significa CRUD?";"Create, Read, Update, Delete";"Copy, Run, Upload, Download";"Code, Run, Use, Deploy";"Create, Remove, Update, Deploy";"A"
"70";"Informática";"Médio";"O que é JSON?";"Java Standard Object Notation";"Formato de troca de dados JS";"Java Server Object Network";"JavaScript Online Notation";"B"
"71";"Informática";"Médio";"Propriedade CSS para espaço interno?";"margin";"border";"padding";"spacing";"C"
"72";"Informática";"Médio";"O que é um evento no JavaScript?";"Erro de execução";"Ação do usuário detectável";"Tipo de variável";"Função assíncrona";"B"
"73";"Informática";"Médio";"O que é o operador &&?";"OU lógico";"E lógico — ambos verdadeiros";"Negação";"Atribuição";"B"
"74";"Informática";"Médio";"O que é uma lista no HTML?";"Tabela de dados";"Organiza itens (ul/ol)";"Um formulário";"Um link";"B"
"75";"Informática";"Médio";"O que significa HTTP 404?";"Servidor indisponível";"Recurso não encontrado";"Requisição OK";"Redirecionamento";"B"
"76";"Informática";"Médio";"Para que serve o atributo 'href'?";"Cor do link";"Destino do link";"Tamanho do texto";"Título";"B"
"77";"Informática";"Médio";"O que é addEventListener?";"Adiciona ao DOM";"Registra função para evento";"Remove elemento";"Cria variável";"B"
"78";"Informática";"Médio";"O que é um array?";"Variável simples";"Armazena múltiplos valores";"Tipo de função";"Banco de dados";"B"
"79";"Informática";"Médio";"O que é o GitHub?";"Sistema operacional";"Hospeda repositórios Git";"Editor de código";"Banco de dados";"B"
"80";"Informática";"Médio";"Qual tag define uma tabela HTML?";"<list>";"<grid>";"<table>";"<data>";"C"
"81";"Informática";"Médio";"O que é o método fetch()?";"Busca no DOM";"Requisições HTTP assíncronas";"Cria animações";"Manipula arrays";"B"
"82";"Informática";"Médio";"O que faz o atributo 'required'?";"Campo somente leitura";"Campo obrigatório";"Campo desativado";"Campo oculto";"B"
"83";"Informática";"Médio";"Para que serve media query CSS?";"Adicionar animações";"Estilos por tamanho de tela";"Efeitos de sombra";"Definir fontes";"B"
"84";"Informática";"Médio";"O que é o método map() em JS?";"Cria mapa visual";"Transforma array e retorna novo";"Remove duplicados";"Ordena array";"B"
"85";"Informática";"Médio";"O que é programação orientada a objetos?";"Tipo de banco de dados";"Paradigma baseado em objetos";"Uma linguagem";"Protocolo de rede";"B"
"86";"Informática";"Difícil";"O que é 'closure' em JavaScript?";"Função sem retorno";"Função que lembra seu escopo de criação";"Um tipo de loop";"Uma classe";"B"
"87";"Informática";"Difícil";"O que é o padrão MVC?";"Model View Controller";"Módulo Virtual Computacional";"Method Value Component";"Multi View Controller";"A"
"88";"Informática";"Difícil";"Diferença entre processo e thread?";"São a mesma coisa";"Processo é programa, thread é unidade de execução";"Thread é mais pesada";"Processo é mais rápido";"B"
"89";"Informática";"Difícil";"O que diferencia HTTPS do HTTP?";"São iguais";"HTTPS usa criptografia SSL/TLS";"HTTP é mais seguro";"HTTPS é mais lento";"B"
"90";"Informática";"Difícil";"O que é Big O Notation?";"Uma linguagem";"Descreve complexidade de algoritmos";"Tipo de banco de dados";"Protocolo de rede";"B"
"91";"Informática";"Difícil";"O que é imutabilidade funcional?";"Objetos alterados livremente";"Valor não modificado — cria-se novo";"Uma classe abstrata";"Tipo de herança";"B"
"92";"Informática";"Difícil";"O que é um índice em banco de dados?";"Coluna obrigatória";"Acelera consultas ao banco";"Tipo de join";"Restrição de chave";"B"
"93";"Informática";"Difícil";"O que é 'debounce' no frontend?";"Animação CSS";"Atrasa função até evento parar";"Tipo de cache";"Protocolo HTTP";"B"
"94";"Informática";"Difícil";"O que é uma Promise em JavaScript?";"Tipo de variável";"Representa operação assíncrona futura";"Função síncrona";"Tipo de array";"B"
"95";"Informática";"Difícil";"O que é normalização em banco de dados?";"Aumentar o banco";"Reduz redundância e dependências";"Criptografar dados";"Fazer backup";"B"
"96";"Informática";"Difícil";"O que é WebSocket?";"Um protocolo HTTP";"Comunicação bidirecional em tempo real";"Tipo de banco de dados";"Biblioteca JavaScript";"B"
"97";"Informática";"Difícil";"O que é 'lazy loading'?";"Carregamento antecipado";"Carrega recursos quando necessário";"Tipo de cache";"Animação CSS";"B"
"98";"Informática";"Difícil";"O que é SQL Injection?";"Tipo de banco de dados";"Ataque com código SQL malicioso";"Comando SQL válido";"Protocolo de segurança";"B"
"99";"Informática";"Difícil";"O que é o 'event loop' no JS?";"Um for loop";"Gerencia fila de eventos e callbacks";"Função assíncrona";"Tipo de array";"B"
"100";"Informática";"Difícil";"O que é Docker?";"Editor de código";"Executa apps em contêineres";"Um banco de dados";"Sistema operacional";"B"
"101";"Informática";"Difícil";"O que é herança em POO?";"Cria objetos idênticos";"Classe herda de outra classe";"Ocultação de dados";"Sobrescrita de métodos";"B"
"102";"Informática";"Difícil";"O que é o método reduce()?";"Remove elementos";"Reduz array a um valor";"Filtra elementos";"Ordena elementos";"B"
"103";"Informática";"Difícil";"O que é REST?";"Linguagem de programação";"Arquitetura para APIs HTTP";"Um banco de dados";"Sistema operacional";"B"
"104";"Informática";"Difícil";"O que é encapsulamento em POO?";"Reutilizar código";"Ocultar detalhes internos";"Criar múltiplas instâncias";"Herdar propriedades";"B"
"105";"Informática";"Difícil";"O que é o JOIN no SQL?";"Apaga registros";"Combina tabelas por coluna";"Cria nova tabela";"Atualiza registros";"B"
"106";"Informática";"Difícil";"O que é polimorfismo em POO?";"Classe sem métodos";"Objetos respondem ao método de formas distintas";"Herança múltipla";"Encapsulamento";"B"
"107";"Informática";"Difícil";"O que é um CDN?";"Um banco de dados";"Rede que entrega conteúdo próximo";"Protocolo de segurança";"Editor de código";"B"
"108";"Informática";"Difícil";"O que é async/await em JavaScript?";"Tipo de loop";"Sintaxe para Promises legível";"Tipo de variável";"Método de array";"B"
"109";"Informática";"Difícil";"O que é virtual DOM no React?";"Banco de dados virtual";"DOM em memória para otimizar updates";"Tipo de componente";"Um hook";"B"
"110";"Informática";"Difícil";"O que é cache em computação?";"Tipo de vírus";"Armazenamento temporário rápido";"Protocolo de rede";"Tipo de banco";"B"
"111";"Informática";"Difícil";"O que é recursão em programação?";"Um loop simples";"Função que chama a si mesma";"Erro de programação";"Tipo de array";"B"
"112";"Informática";"Difícil";"O que é o protocolo TCP/IP?";"Sistema operacional";"Governa transmissão de dados";"Linguagem de programação";"Banco de dados";"B"
"113";"Informática";"Difícil";"O que é o padrão Singleton?";"Permite múltiplas instâncias";"Garante uma única instância";"Tipo de herança";"Padrão de banco";"B"
"114";"Informática";"Difícil";"O que é 'tree shaking'?";"Animação de árvore";"Elimina código não utilizado";"Tipo de algoritmo";"Ordena arrays";"B"
"115";"Informática";"Difícil";"O que é memoization?";"Tipo de loop";"Armazena resultados para evitar recalcular";"Animação CSS";"Tipo de banco";"B"
"116";"Informática";"Difícil";"Diferença entre SQL e NoSQL?";"São iguais";"SQL relacional, NoSQL flexível";"NoSQL é mais antigo";"SQL é mais rápido";"B"
"117";"Informática";"Difícil";"O que é middleware web?";"Um banco de dados";"Intermediário entre cliente e servidor";"Tipo de frontend";"Protocolo de rede";"B"
"118";"Informática";"Difícil";"O que é um token JWT?";"Tipo de cookie";"Padrão seguro de autenticação";"Um banco de dados";"Protocolo HTTP";"B"
"119";"Informática";"Difícil";"O que é deadlock?";"Tipo de vírus";"Processos bloqueados esperando recursos";"Loop infinito";"Erro de memória";"B"
"120";"Informática";"Difícil";"O que é busca binária?";"Busca em listas desordenadas";"Divide lista ao meio a cada comparação";"Tipo de ordenação";"Estrutura de dados";"B"
"121";"Informática";"Difícil";"O que é injeção de dependência?";"Um ataque";"Dependências fornecidas externamente";"Tipo de herança";"Padrão de banco";"B"
"122";"Informática";"Difícil";"O que são microserviços?";"Serviço monolítico";"Serviços independentes divididos";"Tipo de banco";"Protocolo";"B"
"123";"Informática";"Difícil";"O que é hash em segurança?";"Cópia de dados";"Transforma dados em string fixa";"Criptografia simétrica";"Protocolo de rede";"B"
"124";"Informática";"Difícil";"O que é CORS?";"Tipo de ataque";"Controla requisições entre origens";"Um banco de dados";"Tipo de cache";"B"
"125";"Informática";"Difícil";"O que é garbage collection?";"Limpeza de arquivos";"Libera memória não utilizada";"Tipo de vírus";"Protocolo de rede";"B"
"126";"Informática";"Difícil";"O que é o padrão Observer?";"Padrão de banco de dados";"Notifica objetos sobre mudanças";"Tipo de herança";"Padrão de segurança";"B"
"127";"Informática";"Difícil";"O que é Big Data?";"Banco pequeno";"Dados enormes com tecnologias especiais";"Tipo de SQL";"Sistema operacional";"B"
"128";"Informática";"Difícil";"O que é continuous integration?";"Linguagem de programação";"Integra código com verificações automáticas";"Tipo de banco";"Protocolo de rede";"B"
"129";"Matemática";"Fácil";"Quanto é 15% de 200?";"25";"30";"35";"20";"B"
"130";"Matemática";"Fácil";"Fórmula da área do triângulo?";"base × altura";"(base × altura) / 2";"base²";"2 × (base + altura)";"B"
"131";"Matemática";"Fácil";"Quanto é 2³?";"6";"9";"8";"12";"C"
"132";"Matemática";"Fácil";"Raiz quadrada de 144?";"11";"13";"14";"12";"D"
"133";"Matemática";"Fácil";"Se x + 5 = 12, quanto é x?";"5";"8";"7";"6";"C"
"134";"Matemática";"Fácil";"Quantos lados tem um hexágono?";"5";"7";"6";"8";"C"
"135";"Matemática";"Fácil";"Quanto é 20% de 500?";"50";"150";"100";"200";"C"
"136";"Matemática";"Fácil";"O ângulo reto mede quantos graus?";"45°";"180°";"60°";"90°";"D"
"137";"Matemática";"Fácil";"Quanto é 3/4 + 1/4?";"4/8";"1";"2/4";"3/8";"B"
"138";"Matemática";"Fácil";"Valor aproximado de π (pi)?";"3,14";"2,71";"1,61";"4,13";"A"
"139";"Matemática";"Fácil";"Quanto é 7 × 8?";"54";"56";"64";"48";"B"
"140";"Matemática";"Fácil";"Quanto é 100 ÷ 4?";"20";"30";"25";"15";"C"
"141";"Matemática";"Fácil";"Qual é o dobro de 37?";"64";"74";"84";"54";"B"
"142";"Matemática";"Fácil";"Quantos centímetros tem 1 metro?";"10";"1000";"100";"500";"C"
"143";"Matemática";"Fácil";"Quanto é 12²?";"124";"144";"132";"114";"B"
"144";"Matemática";"Fácil";"Ângulos do triângulo equilátero?";"45°";"90°";"60°";"30°";"C"
"145";"Matemática";"Fácil";"Antecessor de 100?";"101";"99";"98";"102";"B"
"146";"Matemática";"Fácil";"Quanto é 50% de 80?";"30";"50";"40";"20";"C"
"147";"Matemática";"Fácil";"Quanto é 9 × 9?";"81";"72";"91";"63";"A"
"148";"Matemática";"Fácil";"Soma dos ângulos internos do triângulo?";"360°";"270°";"180°";"90°";"C"
"149";"Matemática";"Fácil";"Quanto é 1/2 de 60?";"20";"30";"40";"15";"B"
"150";"Matemática";"Fácil";"Qual número é primo?";"9";"15";"4";"7";"D"
"151";"Matemática";"Fácil";"Quantos minutos tem 1 hora?";"100";"30";"60";"90";"C"
"152";"Matemática";"Fácil";"Quanto é 144 ÷ 12?";"11";"14";"12";"13";"C"
"153";"Matemática";"Fácil";"Soma dos ângulos do quadrilátero?";"180°";"270°";"360°";"90°";"C"
"154";"Matemática";"Fácil";"Quanto é 3 × 3 × 3?";"9";"18";"27";"12";"C"
"155";"Matemática";"Fácil";"Quanto é 500 − 275?";"215";"225";"235";"245";"B"
"156";"Matemática";"Fácil";"Quantas horas tem um dia?";"12";"48";"24";"36";"C"
"157";"Matemática";"Fácil";"Quanto é 25% de 400?";"80";"100";"75";"125";"B"
"158";"Matemática";"Fácil";"Qual é o menor número primo?";"0";"1";"3";"2";"D"
"159";"Matemática";"Fácil";"Perímetro de quadrado com lado 5?";"10";"25";"15";"20";"D"
"160";"Matemática";"Fácil";"Quanto é 8 + 9 × 2?";"34";"26";"17";"30";"B"
"161";"Matemática";"Fácil";"Fração equivalente a 0,5?";"1/4";"2/3";"1/2";"3/4";"C"
"162";"Matemática";"Fácil";"Quantos segundos tem 1 minuto?";"100";"30";"120";"60";"D"
"163";"Matemática";"Fácil";"Raiz quadrada de 81?";"7";"8";"9";"11";"C"
"164";"Matemática";"Fácil";"Quanto é 40% de 250?";"80";"90";"100";"110";"C"
"165";"Matemática";"Fácil";"Quanto é 3/5 − 1/5?";"2/5";"1/5";"4/5";"3/10";"A"
"166";"Matemática";"Fácil";"Quantos lados tem um pentágono?";"4";"6";"7";"5";"D"
"167";"Matemática";"Fácil";"Qual é o MMC de 4 e 6?";"8";"24";"12";"6";"C"
"168";"Matemática";"Fácil";"Quanto é 2/3 de 90?";"45";"60";"30";"75";"B"
"169";"Matemática";"Fácil";"Pizza em 8 partes, comeu 3. Sobrou?";"3/8";"4/8";"5/8";"6/8";"C"
"170";"Matemática";"Fácil";"Perímetro de retângulo 8×3?";"24";"11";"22";"16";"C"
"171";"Matemática";"Fácil";"Quanto é 10³?";"30";"100";"300";"1000";"D"
"172";"Matemática";"Médio";"Valor de x em 3x − 7 = 14?";"5";"7";"9";"3";"B"
"173";"Matemática";"Médio";"Área do triângulo base 10, altura 6?";"60";"15";"30";"20";"C"
"174";"Matemática";"Médio";"Quanto é log₁₀(1000)?";"2";"10";"4";"3";"D"
"175";"Matemática";"Médio";"Discriminante de x² − 5x + 6 = 0?";"1";"−1";"4";"0";"A"
"176";"Matemática";"Médio";"Soma da PA: a₁=2, r=3, n=5?";"30";"40";"20";"35";"B"
"177";"Matemática";"Médio";"Quanto é sen(30°)?";"1";"√2/2";"√3/2";"1/2";"D"
"178";"Matemática";"Médio";"y = 2x + 3 com x = 4?";"9";"10";"11";"12";"C"
"179";"Matemática";"Médio";"Solução de 2x + 8 = 0?";"4";"−4";"2";"−2";"B"
"180";"Matemática";"Médio";"Raiz quadrada de 169?";"12";"14";"11";"13";"D"
"181";"Matemática";"Médio";"PG com a₁=2 e q=3, 4º termo?";"18";"54";"27";"36";"B"
"182";"Matemática";"Médio";"Coeficiente angular de y = 3x − 5?";"−5";"5";"3";"−3";"C"
"183";"Matemática";"Médio";"Quanto é cos(60°)?";"1";"√3/2";"1/2";"0";"C"
"184";"Matemática";"Médio";"Área do círculo raio 7 (π=3,14)?";"153,86";"43,96";"21,98";"307,72";"A"
"185";"Matemática";"Médio";"30% maior que 200 vale quanto?";"230";"240";"260";"250";"C"
"186";"Matemática";"Médio";"Quanto é 5! (fatorial de 5)?";"25";"60";"100";"120";"D"
"187";"Matemática";"Médio";"Hipotenusa do triângulo 3-4-?";"6";"7";"5";"8";"C"
"188";"Matemática";"Médio";"Solução de x² − 9 = 0?";"±3";"±9";"3";"9";"A"
"189";"Matemática";"Médio";"Quanto é tg(45°)?";"0";"√3";"1/2";"1";"D"
"190";"Matemática";"Médio";"Área do trapézio bases 8 e 4, altura 5?";"20";"40";"30";"60";"C"
"191";"Matemática";"Médio";"Resultado de C(5,2)?";"20";"5";"15";"10";"D"
"192";"Matemática";"Médio";"3 operários em 12 dias. 6 operários?";"8";"4";"6";"3";"C"
"193";"Matemática";"Médio";"Quanto é 2⁵?";"10";"16";"32";"64";"C"
"194";"Matemática";"Médio";"8º termo da PA 3, 7, 11, 15...?";"27";"31";"35";"29";"B"
"195";"Matemática";"Médio";"Quanto é log₂(64)?";"4";"8";"6";"32";"C"
"196";"Matemática";"Médio";"Produto escalar (2,3)·(4,−1)?";"−5";"8";"5";"2";"C"
"197";"Matemática";"Médio";"Uma torneira em 6h. Duas em?";"3h";"4h";"12h";"2h";"A"
"198";"Matemática";"Médio";"Reta por (0,2) com coef. angular 3?";"y=3x";"y=2x+3";"y=3x+2";"y=2x";"C"
"199";"Matemática";"Médio";"Permutação de 4 elementos P(4)?";"12";"24";"8";"16";"B"
"200";"Matemática";"Médio";"Quanto é (−3)²?";"−9";"6";"9";"−6";"C"
"201";"Matemática";"Médio";"Razão da PG 2, 6, 18, 54...?";"2";"4";"3";"6";"C"
"202";"Matemática";"Médio";"Soma da PG infinita 1, 1/2, 1/4...?";"3";"4";"2";"1";"C"
"203";"Matemática";"Médio";"Formas de organizar 5 pessoas em fila?";"25";"60";"100";"120";"D"
"204";"Matemática";"Médio";"Volume do cubo com aresta 4?";"48";"64";"16";"32";"B"
"205";"Matemática";"Médio";"Quanto é sen(90°)?";"0";"√2/2";"1/2";"1";"D"
"206";"Matemática";"Médio";"MDC de 48 e 36?";"6";"18";"8";"12";"D"
"207";"Matemática";"Médio";"Quanto é log₁₀(0,01)?";"−1";"2";"−2";"1";"C"
"208";"Matemática";"Médio";"f(x) = x²−2x+1, qual é f(3)?";"2";"4";"6";"8";"B"
"209";"Matemática";"Médio";"Setor circular raio 6, ângulo 60°?";"9,42";"18,84";"6,28";"12,57";"B"
"210";"Matemática";"Médio";"Quanto é i² (número imaginário)?";"1";"0";"2";"−1";"D"
"211";"Matemática";"Médio";"Quanto é C(8,3)?";"56";"24";"168";"40";"A"
"212";"Matemática";"Médio";"Diagonais de um hexágono?";"6";"9";"12";"15";"B"
"213";"Matemática";"Médio";"Quanto é 3/4 × 8/9?";"1/3";"11/13";"2/3";"24/72";"C"
"214";"Matemática";"Difícil";"Limite de (x²−1)/(x−1) quando x→1?";"1";"0";"Indefinido";"2";"D"
"215";"Matemática";"Difícil";"Derivada de f(x) = 3x²?";"6x";"3x";"9x²";"x³";"A"
"216";"Matemática";"Difícil";"Integral de 2x dx?";"2x²+C";"x+C";"2+C";"x²+C";"D"
"217";"Matemática";"Difícil";"Determinante de [[2,3],[1,4]]?";"5";"11";"8";"−5";"A"
"218";"Matemática";"Difícil";"P(A∩B) com P(A)=0,4 e P(B)=0,5?";"0,9";"0,2";"0,1";"0,45";"B"
"219";"Matemática";"Difícil";"Soma da PG infinita a₁=3, r=1/2?";"5";"4";"6";"8";"C"
"220";"Matemática";"Difícil";"Quanto é tg(30°)?";"1";"√3";"√3/3";"1/2";"C"
"221";"Matemática";"Difícil";"Circunferência centro (2,−3) raio 5?";"(x+2)²+(y−3)²=25";"(x−2)²+(y+3)²=25";"(x−2)²+(y+3)²=5";"x²+y²=25";"B"
"222";"Matemática";"Difícil";"Quanto é ∫₀¹ x² dx?";"1/2";"1";"1/4";"1/3";"D"
"223";"Matemática";"Difícil";"Derivada de sen(x)?";"−cos(x)";"tan(x)";"cos(x)";"−sen(x)";"C"
"224";"Matemática";"Difícil";"Módulo de z = 3 + 4i?";"7";"1";"25";"5";"D"
"225";"Matemática";"Difícil";"Sistema x+y=5 e x−y=1?";"x=2,y=3";"x=3,y=2";"x=4,y=1";"x=1,y=4";"B"
"226";"Matemática";"Difícil";"Laplace de f(t)=e^(at)?";"1/s";"s/(s−a)";"1/(s−a)";"1/(s+a)";"C"
"227";"Matemática";"Difícil";"Quanto é (1+i)²?";"1+2i";"2+2i";"2i";"2";"C"
"228";"Matemática";"Difícil";"10º termo da PA −3, 2, 7, 12...?";"37";"42";"47";"52";"B"
"229";"Matemática";"Difícil";"Derivada de ln(x)?";"1";"x";"e^x";"1/x";"D"
